slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
doumbse01,Sekou Doumbouya,POWER FORWARD,20,DETROIT PISTONS,56,869,6.9,0.459,0.408,0.227,4.9,13.5,9.2,8.0,1.4,0.9,12.4,17.8,-0.9,0.7,-0.2,-0.012,-5.4,-1.3,-6.7,-1.0,False
doziepj01,PJ Dozier,SHOOTING GUARD,24,DENVER NUGGETS,50,1088,10.4,0.501,0.42,0.186,3.7,15.3,9.5,11.2,1.4,2.0,10.7,17.2,0.1,1.1,1.1,0.051,-2.3,-0.4,-2.6,-0.2,False
dragigo01,Goran Dragić,POINT GUARD,34,MIAMI HEAT,50,1337,13.0,0.552,0.44,0.22,2.2,12.1,7.2,25.9,1.2,0.6,16.2,24.5,0.2,1.2,1.3,0.048,-1.1,-1.3,-2.3,-0.1,False
drumman01,Andre Drummond,CENTER,27,CLEVELAND CAVALIERS,25,722,20.5,0.5,0.021,0.339,15.3,37.5,26.1,16.2,2.7,3.6,15.6,31.3,-0.8,1.3,0.6,0.037,-1.0,0.2,-0.8,0.2,False
drumman01,Andre Drummond,CENTER,27,LOS ANGELES LAKERS,21,520,17.9,0.554,0.0,0.396,14.1,32.0,23.1,9.0,2.2,3.4,16.0,22.4,0.2,1.2,1.4,0.133,-2.7,1.0,-1.7,0.0,False
dudleja01,Jared Dudley,POWER FORWARD,35,LOS ANGELES LAKERS,12,81,4.4,0.333,0.667,0.0,5.6,23.5,14.6,7.6,0.6,1.1,18.2,5.9,0.0,0.1,0.1,0.053,-4.4,0.9,-3.5,0.0,False
dunnkr01,Kris Dunn,POINT GUARD,26,ATLANTA HAWKS,4,45,-5.7,0.182,0.167,0.333,0.0,14.3,7.3,5.4,2.2,3.9,17.9,16.2,-0.2,0.1,-0.2,-0.202,-13.7,-0.1,-13.7,-0.1,False
duranke01,Kevin Durant,POWER FORWARD,32,BROOKLYN NETS,35,1157,26.4,0.666,0.313,0.395,1.3,21.3,11.8,27.5,1.0,3.4,14.5,31.2,3.7,1.2,5.0,0.206,6.4,0.8,7.2,2.7,False
edwaran01,Anthony Edwards,SHOOTING GUARD,19,MINNESOTA TIMBERWOLVES,72,2314,13.9,0.523,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1,False
edwarca01,Carsen Edwards,SHOOTING GUARD,22,BOSTON CELTICS,31,276,10.2,0.527,0.568,0.117,1.2,9.4,5.2,7.4,1.2,0.3,5.7,19.3,0.1,0.2,0.3,0.051,-3.2,-1.3,-4.5,-0.2,False
ellebcj01,CJ Elleby,SMALL FORWARD,20,PORTLAND TRAIL BLAZERS,30,192,9.4,0.468,0.515,0.227,6.0,12.0,8.9,7.1,1.5,1.4,6.4,17.4,0.0,0.1,0.1,0.032,-4.0,-0.9,-4.9,-0.1,False
ellenhe01,Henry Ellenson,POWER FORWARD,24,TORONTO RAPTORS,2,38,12.8,0.476,0.643,0.286,8.4,27.0,17.4,18.9,0.0,0.0,0.0,17.9,0.1,0.0,0.1,0.127,-1.7,-0.1,-1.8,0.0,False
ellinwa01,Wayne Ellington,SHOOTING GUARD,33,DETROIT PISTONS,46,1012,12.2,0.625,0.814,0.104,1.3,8.1,4.7,10.2,0.9,0.8,8.5,16.7,1.3,0.5,1.9,0.088,1.1,-1.3,-0.2,0.5,False
embiijo01,Joel Embiid,CENTER,26,PHILADELPHIA 76ERS,51,1585,30.3,0.636,0.171,0.61,8.0,29.1,18.7,16.2,1.5,3.9,12.2,35.3,5.6,3.2,8.8,0.266,6.3,1.2,7.5,3.8,False
ennisja01,James Ennis III,SMALL FORWARD,30,ORLANDO MAGIC,41,986,12.5,0.613,0.428,0.358,4.4,13.4,8.7,9.3,1.6,0.6,11.3,13.9,1.3,0.7,2.0,0.097,-1.9,-0.3,-2.2,-0.1,False
eubandr01,Drew Eubanks,CENTER,23,SAN ANTONIO SPURS,54,755,17.9,0.618,0.01,0.517,10.2,24.0,17.0,7.9,1.2,5.5,15.2,17.1,1.2,1.1,2.3,0.145,-1.0,1.0,0.0,0.4,False
exumda01,Dante Exum,SHOOTING GUARD,25,CLEVELAND CAVALIERS,6,116,5.9,0.428,0.423,0.077,1.9,14.8,8.2,15.8,1.7,1.5,20.7,12.7,-0.2,0.1,-0.1,-0.025,-5.4,1.6,-3.8,-0.1,False
fallta01,Tacko Fall,CENTER,25,BOSTON CELTICS,19,136,19.6,0.66,0.0,0.517,13.0,29.7,21.3,3.1,0.4,13.7,14.4,13.2,0.2,0.3,0.5,0.177,-1.7,2.9,1.2,0.1,False
favorde01,Derrick Favors,CENTER,29,UTAH JAZZ,68,1039,19.7,0.663,0.008,0.329,14.7,23.3,19.2,6.0,1.5,5.3,11.5,13.0,2.9,2.2,5.1,0.237,0.3,2.4,2.6,1.2,False
feliccr01,Cristiano Felício,CENTER,28,CHICAGO BULLS,18,84,14.7,0.574,0.154,1.231,13.3,20.9,17.2,13.6,2.3,0.0,16.6,12.4,0.2,0.1,0.3,0.151,-1.1,1.2,0.1,0.0,False
fergute01,Terrance Ferguson,SHOOTING GUARD,22,PHILADELPHIA 76ERS,13,49,-7.1,0.143,0.714,0.0,0.0,2.2,1.1,4.9,1.0,0.0,36.4,9.7,-0.2,0.0,-0.2,-0.161,-12.1,-2.2,-14.3,-0.2,False
